Producto,Precio Descuento,Precio Internet,Precio Anterior
Notebook Gamer Victus AMD Ryzen 7-8845HS 16RAM 512GB SSD NVIDIA GeForce RTX 4070 8GB vRAM 15.6,$ 1.219.990,$ 1.289.990,$ 1.999.990
Impresora Multifuncional Smart Tank 520 Tanque de Tinta Color USB Alto Rendimiento 2 años de Garantía,no encontrado,$ 159.990,no encontrado
"Mini Internet satelital de alta velocidad y baja latencia, ideal para zonas remotas",no encontrado,no encontrado,no encontrado
"- iPad 10,9 Rosado Última generación - 64GB Wi-Fi - 10 generación",$ 399.990,$ 439.990,$ 539.990
Notebook Gamer 15-fa1013la I7 16GB 1TB RTX4060 8GB,no encontrado,$ 1.699.990,no encontrado
"Notebook Gamer Victus RTX 3050 Intel i5-12450H 8GB RAM 512GB SSD 15.6"" 144Hz",$ 689.990,$ 719.990,$ 889.990
MacBook Air 2017 i5 8GB RAM 256GB 13.3 SSD Reacondicionado - Plata,$ 299.990,$ 309.990,$ 559.990
Notebook x360 14-ek0010la Intel Core i3 8GB RAM 512GB SSD,no encontrado,$ 829.990,no encontrado
Notebook Pavilion 2 en 1 14-ek1013la Intel Core i3 8GB RAM 512GB SSD,no encontrado,$ 939.990,no encontrado
Notebook OMEN 16-wf0002la Intel Core i9 32 GB RAM NVIDIA GeForce RTX 4070 1 TB SSD.,no encontrado,$ 2.999.990,no encontrado
Notebook Gamer 15-fa1010la I5 8GB RAM 512GB SSD RTX2050 4GB,no encontrado,$ 1.069.990,no encontrado
Notebook Vivobook Pro 15 Ultra 9 24gb Ram 1tb Ssd Oled,no encontrado,$ 1.999.990,no encontrado
"Notebook Gamer Victus 15-FB1007LA AMD Ryzen 5 7535HS 8GB RAM 512GB SSD RTX 2050 4GB 15,6"" FHD 144Hz",$ 719.990,$ 739.990,$ 959.990
Notebook 2 en 1 Pavilion 14-ek1011la I5 8GB RAM 512GB SSD,no encontrado,$ 959.990,no encontrado
Impresora Multifuncional Smart Tank 750 Tanque de Tinta Color Wi-Fi ADF Duplex automático Wi-Fi Direct,no encontrado,$ 299.990,no encontrado
Impresora Multifuncional MFCT930DW Tinta Continua Color WiFi,$ 259.990,$ 269.990,$ 376.990
Tablet TAB 10 Gen2 128GB + Lápiz + Flip Case,$ 149.990,$ 159.990,$ 229.990
"Notebook Gamer Victus 16-R1016LA Intel Core i7-14650HX 32GB DDR5 1TB SSD RTX 4070 16,1"" FHD 144Hz",$ 1.729.990,$ 1.749.990,$ 2.079.990
Tablet M11 8GB+128GB WiFi 11,$ 159.990,$ 174.990,$ 359.990
Notebook 15-eg2503la Intel Core i5 16GB RAM 512GB SSD,no encontrado,$ 889.990,no encontrado
NOTEBOOK 245 G9 R3-3250U 8GB 256GB W11Home,no encontrado,$ 419.990,no encontrado
Notebook Pavilion 2 en 1 14-ek1013la Intel Core i3 8GB RAM 512GB SSD,no encontrado,$ 939.990,no encontrado
MacBook Air 2017 i5 8GB RAM 128GB 13.3'' SSD Reacondicionado - Plata,$ 279.990,$ 289.990,$ 529.990
Notebook 250 G10 i5-1334U 8GB 512GB 156″ Freedos 9E4Y4LT,no encontrado,$ 699.990,no encontrado
Galaxy Book4 15.6 Intel Core i7 16GB Silver,no encontrado,$ 999.990,no encontrado
Tablet TAB 11 256GB + Lápiz + Flip Case,$ 199.990,$ 209.990,$ 279.990
Impresora Multifuncional DCPT530DW Tinta Continua Color WiFi,no encontrado,$ 209.990,no encontrado
"IPad Air 13"" (M3, 512GB, Wi-Fi)-Gris Espacial",no encontrado,no encontrado,no encontrado
Notebook Gamer A515-58GM-56XX-1 Intel Core i5 8 Nucleos 16GB RAM 512GB SSD RTX 2050,no encontrado,$ 1.069.990,no encontrado
"MacBook Air 15""(M4 (10n CPU ,10n GPU), 24GB RAM, 512GB SSD)-Color Plata",$ 2.099.990,$ 2.119.990,$ 2.299.990
"Tablet Yoga Tab Plus 16GB 256GB Octa 12.7"" 3K 144Hz (Wi-Fi) + Teclado y Lapiz",no encontrado,no encontrado,no encontrado
Impresora Multifunción L3210,$ 189.990,$ 199.990,$ 209.990
Notebook Ideapad Celeron 4GB 128GB 14 HD Win11 Azul,no encontrado,$ 399.990,no encontrado
Notebook Intel N4020 8GB 256GB SSD 141 W11H HerobookPro,no encontrado,$ 349.990,no encontrado
"MacBook Air 13""(M4 (10n CPU ,8n GPU), 16GB RAM, 256GB SSD)-Color Plata",$ 1.299.990,$ 1.319.990,$ 1.439.990
Notebook Pavilion 15-eg2515la I7 8GB RAM 512GB SSD,no encontrado,$ 899.990,no encontrado
"Tablet M10 3era Gen 4GB-64GB 10,1"" WUXGA (LTE) + Folio Case",$ 169.990,$ 189.990,$ 219.990
Notebook Gamer LOQ AMD Ryzen 7 7435HS 16RAM 512GB SSD GeForce RTX 4070,$ 1.229.990,$ 1.299.990,$ 1.649.990
Notebook Gamer 16-wf1000la I9 32GB Ram 1TB SSD RTX4070 8GB,no encontrado,$ 3.119.990,no encontrado
"Monitor Gamer 25"" FHD IPS Pivote 90 180Hz 1Ms MGMG2540",no encontrado,$ 239.990,no encontrado
"Ideapad 5 Pro Gen 9 Core Ultra 9 185H 32GB+1TB 16"" 2.5K 120HZ ARC Graphics + Artic Grey",$ 1.359.990,$ 1.379.990,$ 1.399.990
Galaxy Tab A9 Plus 128Gb,no encontrado,$ 299.990,no encontrado
Pencil Usb-C,no encontrado,$ 119.990,no encontrado
"Macbook Air 2019, 13.3'', 128 GB, RAM 8 GB, Plateado, Reacondicionado.",no encontrado,$ 599.990,no encontrado
MacBook Air 13 pulgadas Chip M2 16GB RAM 256GB SSD Blanco Estelar,no encontrado,$ 1.329.990,no encontrado
"ProBook 440 G10 i5-1335U 32GB RAM 1TB SSD NVIDIA RTX 2050 14"" HD Win 11 Home",no encontrado,no encontrado,no encontrado
"Notebook Gamer ROG Strix G16 G614 Intel Core i9 24 Nucleos NVIDIA GeForce RTX 4060 16GB RAM 1TB SSD 16"" FHD+ 165Hz",$ 1.999.990,$ 2.019.990,$ 2.549.990
Usb-C To Lightning Cable (1M),no encontrado,no encontrado,no encontrado
Office 365 Familia 3264 Bits 6 Usuarios ESD 1 año,no encontrado,no encontrado,no encontrado
Antivirus Plus 1 Dispositivo Por 1 Año-Licencia Descargable,no encontrado,no encontrado,no encontrado
Rotuladora Letratag LT100,no encontrado,no encontrado,no encontrado
Cable Ethernet Cat8 15m UTP para Interior y Exterior,no encontrado,$ 69.000,no encontrado
Switch 16FE PoE +1GE + 1SFP Smart DS-3E1318P-EIM,no encontrado,no encontrado,no encontrado
Router Wifi 4g Portátil Liberado,no encontrado,no encontrado,no encontrado
Mouse Gamer G502 Hero - Negro,$ 37.990,$ 40.990,$ 57.990
Pencil 1Ra Generación Reacondicionado Semi Nuevo,no encontrado,$ 115.990,no encontrado
Audifonos iPhone Earpods Lightning Microfono,no encontrado,$ 32.990,no encontrado
Lenovo-lápiz óptico Universal Thinkplus BP16 lápiz táctil,$ 19.990,$ 21.990,$ 55.990
PACK TINTA T544,no encontrado,$ 49.990,no encontrado
Pack tinta BTD60BK BT5001x3,no encontrado,no encontrado,no encontrado
50 DVD 16X IMPRIMIBLES MASTER-G PLATINUM,no encontrado,$ 29.990,no encontrado
Presentador láser recargable SS10,no encontrado,no encontrado,no encontrado
Adaptador Usb Inalambrico Wifi Tplink Archer T3u Nano Ac1300,no encontrado,$ 21.978,no encontrado
Aire Comprimido de 400ML para Limpieza de PC,no encontrado,no encontrado,no encontrado
